record_number,code,band_size,scribe,bander,band_prefix,band_number,species_code,species_name,calendar_age,wrp_age,how_age,how_age2,sex,how_sex,how_sex2,eye_color,skull,bp,cp,fat,body_molt,ff_molt,ff_wear,juv_plg,pp_covs,gr_covs,primaries,secondaries,tertials,rectrices,body_plg,wing_chord,mass,day,month,year,capture_time,release_time,station,net_number,status,disposition,notes,comments,notes,,,,,
NULL,N,1A,EC,SL,2641,9337,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,0,0,1,0,N,2,NULL,J,F,J,J,J,J,F,85,26,14,10,2021,645,744,CT,9,300,NULL," Feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,N,1A,KH,SL,2641,9338,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,1,0,N,3,NULL,J,L,J,J,J,J,F,81,30.2,14,10,2021,845,913,CT,24,300,NULL," Feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,N,1A,SP,SL,2641,9339,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,1,0,N,1,NULL,J,L,J,J,J,J,F,98,42.8,15,10,2021,645,746,CT,17,318,NULL,"Blood and feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,N,1A,ZA,SL,2641,9340,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,1,0,N,1,NULL,J,L,J,J,J,J,F,104,41.8,15,10,2021,845,924,CT,17B,318,NULL,"Blood and feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,N,1A,RH,MB,2641,9341,GRCA,Gray Catbird,HY,FCF,P,NULL,U,NULL,NULL,DB,NULL,0,0,5,0,N,1,NULL,J,F,J,J,L,J,F,83,35.5,19,10,2021,620,645,CT,13,300,NULL,,,,,,,,
NULL,N,1A,AS,ZA,2641,9342,WOTH,Wood Thrush,HY,FCF,P,NULL,U,NULL,NULL,DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,J,L,J,J,J,J,F,107,40,19,10,2021,650,735,CT,51,300,NULL,,,,,,,,
NULL,N,1A,KW,ZA,2641,9343,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,2,NULL,J,L,J,J,J,J,F,103,46.1,19,10,2021,820,833,CT,1,300,NULL,,,,,,,,
NULL,N,1A,KW,TB,2641,9344,GRCA,Gray Catbird,HY,FCF,P,NULL,U,NULL,NULL,DB,NULL,0,0,5,0,N,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,39.3,19,10,2021,830,912,CT,NULL,300,NULL,,,,,,,,
NULL,N,1A,KW,TB,2641,9345,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,4,0,N,1,NULL,J,L,J,J,J,J,F,86,36.7,19,10,2021,830,913,CT,9,300,NULL,,,,,,,,
NULL,N,1A,KW,MB,2641,9346,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,6,0,N,1,NULL,J,L,J,J,J,J,F,102,44.8,19,10,2021,830,920,CT,15,300,NULL,,,,,,,,
